strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
Eldridge169,DSM,IPTG,x100,A4,COL1,a,fcs,1,exp3,26446,30000,50000,30,25764,694,8.116053644192625,25070,17108,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,213,16895,710000,56316666.66666667
Eldridge169,DSM,IPTG,x100,A5,COL1,b,fcs,1,exp3,28776,30000,50000,30,27459,948,8.18906929712906,26511,19155,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,214,18941,713333.3333333334,63136666.66666667
Eldridge169,DSM,IPTG,x100,A6,COL1,c,fcs,1,exp3,1175,30000,50000,30,1105,323,10.511348867711348,782,9,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,1,8,3333.3333333333335,26666.666666666668
Eldridge169,DSM,IPTG,x100,B4,COL2,a,fcs,1,exp3,16092,30000,50000,30,15409,506,8.097318272494748,14903,8737,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,150,8587,500000,28623333.333333336
Eldridge169,DSM,IPTG,x100,B5,COL2,b,fcs,1,exp3,21712,30000,50000,30,20452,513,8.11166486137226,19939,12502,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,161,12341,536666.6666666667,41136666.66666667
Eldridge169,DSM,IPTG,x100,B6,COL2,c,fcs,1,exp3,9660,30000,50000,30,9099,368,8.281301947490162,8731,6326,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,97,6229,323333.3333333334,20763333.333333336
Eldridge169,DSM,IPTG,x100,C4,COL3,a,fcs,1,exp3,17312,30000,50000,30,16663,717,8.136132268552727,15946,8838,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,200,8638,666666.6666666667,28793333.333333336
Eldridge169,DSM,IPTG,x100,C5,COL3,b,fcs,1,exp3,15718,30000,50000,30,14885,443,8.132958551425695,14442,8440,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,104,8336,346666.6666666667,27786666.666666668
Eldridge169,DSM,IPTG,x100,C6,COL3,c,fcs,1,exp3,13486,30000,50000,30,12861,334,8.136582385015664,12527,7725,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,103,7622,343333.3333333334,25406666.666666668
Eldridge169,DSM,IPTG,x100,D4,COL4,a,fcs,1,exp3,13814,30000,50000,30,13342,478,8.209415629466944,12864,7352,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,142,7210,473333.3333333334,24033333.333333336
Eldridge169,DSM,IPTG,x100,D5,COL4,b,fcs,1,exp3,14021,30000,50000,30,13259,420,8.182590596782312,12839,7308,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,125,7183,416666.6666666667,23943333.333333336
Eldridge169,DSM,IPTG,x100,D6,COL4,c,fcs,1,exp3,12662,30000,50000,30,11935,346,8.214788301991963,11589,7533,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,110,7423,366666.6666666667,24743333.333333336
Eldridge169,DSM,IPTG,x100,E4,COL5,a,fcs,1,exp3,14964,30000,50000,30,14317,468,8.158234738445643,13849,7882,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,189,7693,630000,25643333.333333336
Eldridge169,DSM,IPTG,x100,E5,COL5,b,fcs,1,exp3,18780,30000,50000,30,17740,432,8.208704450597267,17308,11759,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,170,11589,566666.6666666667,38630000
Eldridge169,DSM,IPTG,x100,E6,COL5,c,fcs,1,exp3,10211,30000,50000,30,9691,338,8.252436754300836,9353,5856,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,110,5746,366666.6666666667,19153333.333333336
