strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
Eldridge168,DSM,IPTG,x100,A1,COL1,a,fcs,1,exp3,50000,28162,50000,30,47534,1567,8.71561937765378,45967,38498,data/cluster_models/Eldridge168_exp3_cluster_model.Rdata,2048,36450,7272210.780484341,129429728.00227256
Eldridge168,DSM,IPTG,x100,A2,COL1,b,fcs,1,exp3,50000,16721,50000,30,48894,606,8.291290113224939,48288,41109,data/cluster_models/Eldridge168_exp3_cluster_model.Rdata,2968,38141,17750134.561330065,228102386.22091982
Eldridge168,DSM,IPTG,x100,A3,COL1,c,fcs,1,exp3,50000,28843,50000,30,48416,546,8.946407945917434,47870,43019,data/cluster_models/Eldridge168_exp3_cluster_model.Rdata,9560,33459,33144957.18198523,116003883.09121796
Eldridge168,DSM,IPTG,x100,B1,COL2,a,fcs,1,exp3,50000,19328,50000,30,48650,1394,8.284863913619223,47256,39279,data/cluster_models/Eldridge168_exp3_cluster_model.Rdata,1815,37464,9390521.523178807,193832781.45695361
Eldridge168,DSM,IPTG,x100,B2,COL2,b,fcs,1,exp3,47095,30000,50000,30,45280,1011,8.703612253106808,44269,38287,data/cluster_models/Eldridge168_exp3_cluster_model.Rdata,6690,31597,22300000,105323333.33333334
Eldridge168,DSM,IPTG,x100,B3,COL2,c,fcs,1,exp3,40779,30000,50000,30,39274,577,8.696668961714062,38697,34666,data/cluster_models/Eldridge168_exp3_cluster_model.Rdata,7388,27278,24626666.666666668,90926666.66666667
Eldridge168,DSM,IPTG,x100,C1,COL3,a,fcs,1,exp3,50000,21239,50000,30,48079,1257,8.416045644873417,46822,38421,data/cluster_models/Eldridge168_exp3_cluster_model.Rdata,1676,36745,7891143.650831018,173007203.72898912
Eldridge168,DSM,IPTG,x100,C2,COL3,b,fcs,1,exp3,40277,30000,50000,30,38446,824,8.781112376370915,37622,32414,data/cluster_models/Eldridge168_exp3_cluster_model.Rdata,5360,27054,17866666.666666668,90180000
Eldridge168,DSM,IPTG,x100,C3,COL3,c,fcs,1,exp3,35966,30000,50000,30,34377,680,8.8254105576427,33697,29650,data/cluster_models/Eldridge168_exp3_cluster_model.Rdata,6670,22980,22233333.333333336,76600000
Eldridge168,DSM,IPTG,x100,D1,COL4,a,fcs,1,exp3,50000,19103,50000,30,48545,962,8.395737487393028,47583,37054,data/cluster_models/Eldridge168_exp3_cluster_model.Rdata,2007,35047,10506203.214154845,183463330.36695808
Eldridge168,DSM,IPTG,x100,D2,COL4,b,fcs,1,exp3,45977,30000,50000,30,44281,662,8.661724380313498,43619,36252,data/cluster_models/Eldridge168_exp3_cluster_model.Rdata,5852,30400,19506666.666666668,101333333.33333334
Eldridge168,DSM,IPTG,x100,D3,COL4,c,fcs,1,exp3,32657,30000,50000,30,31041,535,8.792483642005925,30506,27322,data/cluster_models/Eldridge168_exp3_cluster_model.Rdata,8442,18880,28140000,62933333.333333336
Eldridge168,DSM,IPTG,x100,E1,COL5,a,fcs,1,exp3,43012,30000,50000,30,40574,1122,9.162012098612635,39452,34022,data/cluster_models/Eldridge168_exp3_cluster_model.Rdata,5537,28485,18456666.666666668,94950000
Eldridge168,DSM,IPTG,x100,E2,COL5,b,fcs,1,exp3,40601,30000,50000,30,38798,813,8.549894872549052,37985,33481,data/cluster_models/Eldridge168_exp3_cluster_model.Rdata,6484,26997,21613333.333333336,89990000
Eldridge168,DSM,IPTG,x100,E3,COL5,c,fcs,1,exp3,30079,30000,50000,30,28026,472,9.262054457121003,27554,24677,data/cluster_models/Eldridge168_exp3_cluster_model.Rdata,11040,13637,36800000,45456666.66666667
