strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
Eldridge168,DSM,xIPTG,x100,A7,COL1,a,fcs,1,exp3,50000,26591,50000,30,48496,271,9.390318346377894,48225,44152,new for  Eldridge168_exp3,16622,27530,62509871.76112218,103531269.97856417
Eldridge168,DSM,xIPTG,x100,A8,COL1,b,fcs,1,exp3,2174,30000,50000,30,1882,219,8.711357656841468,1663,1245,new for  Eldridge168_exp3,1022,223,3406666.666666667,743333.3333333334
Eldridge168,DSM,xIPTG,x100,A9,COL1,c,fcs,1,exp3,50000,23318,50000,30,48561,282,9.225272622028413,48279,44208,new for  Eldridge168_exp3,21402,22806,91783171.79861052,97804271.37833434
Eldridge168,DSM,xIPTG,x100,B7,COL2,a,fcs,1,exp3,47060,30000,50000,30,45296,212,9.324322593315811,45084,40836,new for  Eldridge168_exp3,24478,16358,81593333.33333334,54526666.66666667
Eldridge168,DSM,xIPTG,x100,B8,COL2,b,fcs,1,exp3,2781,30000,50000,30,2479,186,8.417327513084707,2293,1857,new for  Eldridge168_exp3,1433,424,4776666.666666667,1413333.3333333335
Eldridge168,DSM,xIPTG,x100,B9,COL2,c,fcs,1,exp3,49765,30000,50000,30,47822,183,9.464180823721161,47639,44471,new for  Eldridge168_exp3,33079,11392,110263333.33333334,37973333.333333336
Eldridge168,DSM,xIPTG,x100,C7,COL3,a,fcs,1,exp3,37292,30000,50000,30,35764,222,9.511018036725044,35542,32188,new for  Eldridge168_exp3,24085,8103,80283333.33333334,27010000
Eldridge168,DSM,xIPTG,x100,C8,COL3,b,fcs,1,exp3,33472,30000,50000,30,31836,154,9.294817691300253,31682,28314,new for  Eldridge168_exp3,16730,11584,55766666.66666667,38613333.333333336
Eldridge168,DSM,xIPTG,x100,C9,COL3,c,fcs,1,exp3,35847,30000,50000,30,34208,367,8.866838076363129,33841,29560,new for  Eldridge168_exp3,13327,16233,44423333.333333336,54110000
Eldridge168,DSM,xIPTG,x100,D7,COL4,a,fcs,1,exp3,35983,30000,50000,30,34311,214,9.119955327876193,34097,30260,new for  Eldridge168_exp3,15781,14479,52603333.333333336,48263333.333333336
Eldridge168,DSM,xIPTG,x100,D8,COL4,b,fcs,1,exp3,35131,30000,50000,30,33763,184,9.320012819172307,33579,29846,new for  Eldridge168_exp3,18581,11265,61936666.66666667,37550000
Eldridge168,DSM,xIPTG,x100,D9,COL4,c,fcs,1,exp3,36829,30000,50000,30,35265,207,9.427895527530001,35058,32120,new for  Eldridge168_exp3,22991,9129,76636666.66666667,30430000
Eldridge168,DSM,xIPTG,x100,E7,COL5,a,fcs,1,exp3,40771,30000,50000,30,38908,147,8.834512339246812,38761,36429,new for  Eldridge168_exp3,30198,6231,100660000,20770000
Eldridge168,DSM,xIPTG,x100,E8,COL5,b,fcs,1,exp3,43153,30000,50000,30,41292,154,9.688089277033589,41138,37517,new for  Eldridge168_exp3,31598,5919,105326666.66666667,19730000
Eldridge168,DSM,xIPTG,x100,E9,COL5,c,fcs,1,exp3,32934,30000,50000,30,31621,170,9.31300547905973,31451,28449,new for  Eldridge168_exp3,17923,10526,59743333.333333336,35086666.66666667
