strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
Eldridge169,DSM,xIPTG,x100,A10,COL1,a,fcs,1,exp3,50000,28600,50000,30,48421,138,9.565854470748377,48283,45290,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,27822,17468,97279720.27972028,61076923.07692307
Eldridge169,DSM,xIPTG,x100,A11,COL1,b,fcs,1,exp3,50000,27924,50000,30,48487,133,9.600619752028756,48354,45745,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,29640,16105,106145251.39664803,57674401.948144965
Eldridge169,DSM,xIPTG,x100,A12,COL1,c,fcs,1,exp3,50000,16207,50000,30,48914,137,9.479596397193072,48777,45960,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,22100,23860,136360831.7393719,147220336.89146665
Eldridge169,DSM,xIPTG,x100,B10,COL2,a,fcs,1,exp3,23583,30000,50000,30,22300,122,9.576761548815277,22178,20030,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,14507,5523,48356666.66666667,18410000
Eldridge169,DSM,xIPTG,x100,B11,COL2,b,fcs,1,exp3,27624,30000,50000,30,26394,121,9.61170218699364,26273,24156,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,17980,6176,59933333.333333336,20586666.666666668
Eldridge169,DSM,xIPTG,x100,B12,COL2,c,fcs,1,exp3,48816,30000,50000,30,47289,195,9.457410431020211,47094,43022,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,15182,27840,50606666.66666667,92800000
Eldridge169,DSM,xIPTG,x100,C10,COL3,a,fcs,1,exp3,27246,30000,50000,30,25466,104,9.562434353551025,25362,23051,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,18353,4698,61176666.66666667,15660000
Eldridge169,DSM,xIPTG,x100,C11,COL3,b,fcs,1,exp3,31782,30000,50000,30,30332,116,9.591634256041347,30216,27911,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,20858,7053,69526666.66666667,23510000
Eldridge169,DSM,xIPTG,x100,C12,COL3,c,fcs,1,exp3,50000,25622,50000,30,48491,123,9.481900161648868,48368,45163,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,20623,24540,80489423.15197878,95777066.58340488
Eldridge169,DSM,xIPTG,x100,D10,COL4,a,fcs,1,exp3,23181,30000,50000,30,21907,119,9.530156309718787,21788,19547,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,15805,3742,52683333.333333336,12473333.333333334
Eldridge169,DSM,xIPTG,x100,D11,COL4,b,fcs,1,exp3,34983,30000,50000,30,33490,143,9.596403022399222,33347,30782,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,24483,6299,81610000,20996666.666666668
Eldridge169,DSM,xIPTG,x100,D12,COL4,c,fcs,1,exp3,50000,29563,50000,30,48535,162,9.432145802136574,48373,44957,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,22204,22753,75107397.76071441,76964448.80424856
Eldridge169,DSM,xIPTG,x100,E10,COL5,a,fcs,1,exp3,29041,30000,50000,30,27393,131,9.626797323595325,27262,24915,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,21282,3633,70940000,12110000
Eldridge169,DSM,xIPTG,x100,E11,COL5,b,fcs,1,exp3,36804,30000,50000,30,35356,121,9.568624200917288,35235,32828,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,25908,6920,86360000,23066666.666666668
Eldridge169,DSM,xIPTG,x100,E12,COL5,c,fcs,1,exp3,50000,23642,50000,30,48290,223,9.458220475090867,48067,45100,data/cluster_models/Eldridge169_exp3_cluster_model.Rdata,27332,17768,115607816.59758058,75154386.26173759
