strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
sigF,DSM,xIPTG,x100,F10,COL1,a,fcs,1,exp3,33861,30000,50000,30,32355,122,9.51024824807391,32233,29567,data/cluster_models/sigF_exp3_cluster_model.Rdata,19909,9658,66363333.333333336,32193333.333333336
sigF,DSM,xIPTG,x100,F11,COL1,b,fcs,1,exp3,50000,26027,50000,30,48300,156,9.534464262924356,48144,45388,data/cluster_models/sigF_exp3_cluster_model.Rdata,31897,13491,122553502.13240096,51834633.265455104
sigF,DSM,xIPTG,x100,F12,COL1,c,fcs,1,exp3,50000,19735,50000,30,48495,393,9.05420936654828,48102,43392,data/cluster_models/sigF_exp3_cluster_model.Rdata,17986,25406,91137572.84013174,128735748.66987586
