strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
SP10,DSM,xIPTG,x100,G7,COL1,a,fcs,1,exp3,35493,30000,50000,30,33974,181,8.88166353184995,33793,31881,new for  SP10_exp3,25046,6835,83486666.66666667,22783333.333333336
SP10,DSM,xIPTG,x100,G8,COL1,b,fcs,1,exp3,39193,30000,50000,30,37688,159,9.606755548865145,37529,35135,new for  SP10_exp3,27673,7462,92243333.33333334,24873333.333333336
SP10,DSM,xIPTG,x100,G9,COL1,c,fcs,1,exp3,43928,30000,50000,30,42394,144,9.607175706448611,42250,39509,new for  SP10_exp3,32548,6961,108493333.33333334,23203333.333333336
