strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
sigG,DSM,IPTG,x100,E1,COL1,a,fcs,1,exp2,26448,30000,50000,30,24613,721,8.373619289032044,23892,20511,data/cluster_models/sigG_exp2_cluster_model.Rdata,8228,12283,27426666.666666668,40943333.333333336
sigG,DSM,IPTG,x100,E2,COL1,b,fcs,1,exp2,25545,30000,50000,30,23939,1603,8.402994561255042,22336,17165,data/cluster_models/sigG_exp2_cluster_model.Rdata,911,16254,3036666.666666667,54180000
sigG,DSM,IPTG,x100,E3,COL1,c,fcs,1,exp2,19485,30000,50000,30,18089,1354,8.355936060862582,16735,12152,data/cluster_models/sigG_exp2_cluster_model.Rdata,608,11544,2026666.6666666667,38480000
sigG,DSM,IPTG,x100,E4,COL2,a,fcs,1,exp2,18638,30000,50000,30,17262,606,8.359060624264867,16656,12944,data/cluster_models/sigG_exp2_cluster_model.Rdata,628,12316,2093333.3333333335,41053333.333333336
sigG,DSM,IPTG,x100,E5,COL2,b,fcs,1,exp2,22871,30000,50000,30,21144,1135,8.454839354644514,20009,16010,data/cluster_models/sigG_exp2_cluster_model.Rdata,1301,14709,4336666.666666667,49030000
sigG,DSM,IPTG,x100,E6,COL2,c,fcs,1,exp2,19466,30000,50000,30,18033,910,8.40944824838685,17123,13840,data/cluster_models/sigG_exp2_cluster_model.Rdata,1428,12412,4760000,41373333.333333336
sigG,DSM,IPTG,x100,F6,COL3,a,fcs,1,exp2,4478,30000,50000,30,3946,518,8.417101408852721,3428,2534,data/cluster_models/sigG_exp2_cluster_model.Rdata,316,2218,1053333.3333333335,7393333.333333334
sigG,DSM,IPTG,x100,G6,COL3,b,fcs,1,exp2,16902,30000,50000,30,15910,968,8.377188324086259,14942,11945,data/cluster_models/sigG_exp2_cluster_model.Rdata,1566,10379,5220000,34596666.66666667
sigG,DSM,IPTG,x100,H6,COL3,c,fcs,1,exp2,28618,30000,50000,30,26301,393,8.43174316737916,25908,22830,data/cluster_models/sigG_exp2_cluster_model.Rdata,12660,10170,42200000,33900000
