strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
pDR110,DSM,xIPTG,x100,A10,COL2,a,fcs,1,exp2,43652,30000,50000,30,39425,599,9.033886199687446,38826,34121,data/cluster_models/pDR110_exp2_cluster_model.Rdata,22022,12099,73406666.66666667,40330000
pDR110,DSM,xIPTG,x100,A11,COL2,b,fcs,1,exp2,50000,25624,50000,30,47042,503,8.924536900510402,46539,41737,data/cluster_models/pDR110_exp2_cluster_model.Rdata,19900,21837,77661567.28067437,85220886.66874805
pDR110,DSM,xIPTG,x100,A12,COL2,c,fcs,1,exp2,50000,22734,50000,30,47231,406,9.105119077555583,46825,41884,data/cluster_models/pDR110_exp2_cluster_model.Rdata,14878,27006,65443828.626726486,118791237.79361309
pDR110,DSM,xIPTG,x100,A7,COL1,a,fcs,1,exp2,50000,19238,50000,30,47120,483,8.822601606888782,46637,40672,data/cluster_models/pDR110_exp2_cluster_model.Rdata,14066,26606,73115708.4936064,138299199.50098762
pDR110,DSM,xIPTG,x100,A8,COL1,b,fcs,1,exp2,50000,24933,50000,30,46745,568,8.937288010328801,46177,41039,data/cluster_models/pDR110_exp2_cluster_model.Rdata,18589,22450,74555809.56964666,90041310.71271007
pDR110,DSM,xIPTG,x100,A9,COL1,c,fcs,1,exp2,50000,25386,50000,30,46500,463,9.164822230204198,46037,41200,data/cluster_models/pDR110_exp2_cluster_model.Rdata,20370,20830,80241077.75939494,82053100.1339321
pDR110,DSM,xIPTG,x100,F7,COL3,a,fcs,1,exp2,41813,30000,50000,30,39556,199,8.245369478679809,39357,35195,data/cluster_models/pDR110_exp2_cluster_model.Rdata,14328,20867,47760000,69556666.66666667
pDR110,DSM,xIPTG,x100,G7,COL3,b,fcs,1,exp2,50000,23098,50000,30,47964,155,8.454013790548903,47809,42915,data/cluster_models/pDR110_exp2_cluster_model.Rdata,16901,26014,73170837.3019309,112624469.65105204
pDR110,DSM,xIPTG,x100,H7,COL3,c,fcs,1,exp2,50000,11801,50000,30,48255,138,8.61792095803406,48117,42870,data/cluster_models/pDR110_exp2_cluster_model.Rdata,18523,24347,156961274.46826538,206313024.31997287
