strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
SP10,DSM,IPTG,x100,B1,COL1,a,fcs,1,exp2,28068,30000,50000,30,26205,828,8.750612943012493,25377,20693,data/cluster_models/SP10_exp2_cluster_model.Rdata,13139,7554,43796666.66666667,25180000
SP10,DSM,IPTG,x100,B2,COL1,b,fcs,1,exp2,22082,30000,50000,30,20931,941,8.815480392001346,19990,15637,data/cluster_models/SP10_exp2_cluster_model.Rdata,8906,6731,29686666.666666668,22436666.666666668
SP10,DSM,IPTG,x100,B3,COL1,c,fcs,1,exp2,20767,30000,50000,30,19665,872,8.785645298318235,18793,14269,data/cluster_models/SP10_exp2_cluster_model.Rdata,8397,5872,27990000,19573333.333333336
SP10,DSM,IPTG,x100,B4,COL2,a,fcs,1,exp2,20133,30000,50000,30,19360,994,8.775672479299057,18366,13871,data/cluster_models/SP10_exp2_cluster_model.Rdata,7061,6810,23536666.666666668,22700000
SP10,DSM,IPTG,x100,B5,COL2,b,fcs,1,exp2,21193,30000,50000,30,19921,664,8.83976674429351,19257,15150,data/cluster_models/SP10_exp2_cluster_model.Rdata,8896,6254,29653333.333333336,20846666.666666668
SP10,DSM,IPTG,x100,B6,COL2,c,fcs,1,exp2,21272,30000,50000,30,19868,689,8.831555088330495,19179,15139,data/cluster_models/SP10_exp2_cluster_model.Rdata,9402,5737,31340000,19123333.333333336
SP10,DSM,IPTG,x100,F3,COL3,a,fcs,1,exp2,24210,30000,50000,30,22570,285,8.416831721278081,22285,19009,data/cluster_models/SP10_exp2_cluster_model.Rdata,12256,6753,40853333.333333336,22510000
SP10,DSM,IPTG,x100,G3,COL3,b,fcs,1,exp2,16556,30000,50000,30,15475,218,8.52458962257763,15257,13032,data/cluster_models/SP10_exp2_cluster_model.Rdata,9193,3839,30643333.333333336,12796666.666666668
SP10,DSM,IPTG,x100,H3,COL3,c,fcs,1,exp2,34130,30000,50000,30,32467,330,8.843251152952584,32137,28173,data/cluster_models/SP10_exp2_cluster_model.Rdata,18827,9346,62756666.66666667,31153333.333333336
