strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
pDR110,DSM,IPTG,x100,A1,COL1,a,fcs,1,exp2,50000,16279,50000,30,47323,1300,8.56295069940801,46023,36784,data/cluster_models/pDR110_exp2_cluster_model.Rdata,8389,28395,51532649.425640404,174427176.1164691
pDR110,DSM,IPTG,x100,A2,COL1,b,fcs,1,exp2,50000,27392,50000,30,46954,1215,8.677182716914729,45739,39349,data/cluster_models/pDR110_exp2_cluster_model.Rdata,10821,28528,39504234.81308411,104147196.26168224
pDR110,DSM,IPTG,x100,A3,COL1,c,fcs,1,exp2,50000,23819,50000,30,46705,838,8.668690253291905,45867,40633,data/cluster_models/pDR110_exp2_cluster_model.Rdata,15361,25272,64490532.76795835,106100172.13149166
pDR110,DSM,IPTG,x100,A4,COL2,a,fcs,1,exp2,50000,28890,50000,30,45830,807,9.007450212056348,45023,39801,data/cluster_models/pDR110_exp2_cluster_model.Rdata,23341,16460,80792661.8206992,56974731.741086885
pDR110,DSM,IPTG,x100,A5,COL2,b,fcs,1,exp2,50000,27804,50000,30,46502,831,8.639576808438338,45671,40806,data/cluster_models/pDR110_exp2_cluster_model.Rdata,18418,22388,66242267.29966912,80520788.37577327
pDR110,DSM,IPTG,x100,A6,COL2,c,fcs,1,exp2,50000,28051,50000,30,46383,679,8.848088026110844,45704,40430,data/cluster_models/pDR110_exp2_cluster_model.Rdata,17171,23259,61213503.97490285,82916830.05953442
pDR110,DSM,IPTG,x100,F2,COL3,a,fcs,1,exp2,50000,26949,50000,30,47521,182,8.857059865680561,47339,42898,data/cluster_models/pDR110_exp2_cluster_model.Rdata,23276,19622,86370551.78299752,72811607.10972577
pDR110,DSM,IPTG,x100,G2,COL3,b,fcs,1,exp2,50000,26332,50000,30,47701,188,8.81446027941731,47513,43155,data/cluster_models/pDR110_exp2_cluster_model.Rdata,20024,23131,76044356.6762874,87843688.28801458
pDR110,DSM,IPTG,x100,H2,COL3,c,fcs,1,exp2,50000,13648,50000,30,48291,120,8.546772193092126,48171,43242,data/cluster_models/pDR110_exp2_cluster_model.Rdata,13584,29658,99531066.82297772,217306565.0644783
