strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
SP10,DSM,xIPTG,x100,B10,COL2,a,fcs,1,exp2,37167,30000,50000,30,34004,342,9.007327412519237,33662,29686,new for  SP10_exp2,19786,9900,65953333.333333336,33000000
SP10,DSM,xIPTG,x100,B11,COL2,b,fcs,1,exp2,42888,30000,50000,30,40116,295,9.065629940105932,39821,35343,new for  SP10_exp2,18743,16600,62476666.66666667,55333333.333333336
SP10,DSM,xIPTG,x100,B12,COL2,c,fcs,1,exp2,50000,29631,50000,30,46212,304,9.149143744563265,45908,41143,new for  SP10_exp2,20996,20147,70858222.80719517,67992980.32465999
SP10,DSM,xIPTG,x100,B7,COL1,a,fcs,1,exp2,36309,30000,50000,30,33306,465,8.694289663405865,32841,28615,new for  SP10_exp2,14944,13671,49813333.333333336,45570000
SP10,DSM,xIPTG,x100,B8,COL1,b,fcs,1,exp2,36388,30000,50000,30,33444,500,8.469879133657328,32944,29069,new for  SP10_exp2,15735,13334,52450000,44446666.66666667
SP10,DSM,xIPTG,x100,B9,COL1,c,fcs,1,exp2,34779,30000,50000,30,31703,380,8.776730144490212,31323,27332,new for  SP10_exp2,16081,11251,53603333.333333336,37503333.333333336
SP10,DSM,xIPTG,x100,F8,COL3,a,fcs,1,exp2,41620,30000,50000,30,38801,176,8.998218229490679,38625,34359,new for  SP10_exp2,23609,10750,78696666.66666667,35833333.333333336
SP10,DSM,xIPTG,x100,G8,COL3,b,fcs,1,exp2,35562,30000,50000,30,33171,197,8.986747074370578,32974,29437,new for  SP10_exp2,18136,11301,60453333.333333336,37670000
SP10,DSM,xIPTG,x100,H8,COL3,c,fcs,1,exp2,50000,12988,50000,30,47857,82,9.329952420058857,47775,44639,new for  SP10_exp2,31575,13064,243109023.71419773,100585155.52817987
