strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
Goe3,DSM,xIPTG,x100,C10,COL3,a,fcs,1,exp2,37411,30000,50000,30,34537,310,8.711763535423128,34227,30242,new for  Goe3_exp2,14611,15631,48703333.333333336,52103333.333333336
Goe3,DSM,xIPTG,x100,C11,COL3,b,fcs,1,exp2,44901,30000,50000,30,42398,280,8.943948877211408,42118,37714,new for  Goe3_exp2,17521,20193,58403333.333333336,67310000
Goe3,DSM,xIPTG,x100,C12,COL3,c,fcs,1,exp2,50000,22788,50000,30,47327,213,9.048742155769606,47114,41967,new for  Goe3_exp2,14036,27931,61593821.309461124,122568895.91012815
Goe3,DSM,xIPTG,x100,C7,COL2,a,fcs,1,exp2,38385,30000,50000,30,36006,376,8.612283913803623,35630,31471,new for  Goe3_exp2,13130,18341,43766666.66666667,61136666.66666667
Goe3,DSM,xIPTG,x100,C8,COL2,b,fcs,1,exp2,41681,30000,50000,30,39217,334,8.636008099309553,38883,34187,new for  Goe3_exp2,13984,20203,46613333.333333336,67343333.33333334
Goe3,DSM,xIPTG,x100,C9,COL2,c,fcs,1,exp2,36619,30000,50000,30,33549,264,9.09961563298002,33285,29331,new for  Goe3_exp2,19541,9790,65136666.66666667,32633333.333333336
Goe3,DSM,xIPTG,x100,F9,COL1,a,fcs,1,exp2,36283,30000,50000,30,33855,185,8.752151126410446,33670,29569,new for  Goe3_exp2,13049,16520,43496666.66666667,55066666.66666667
Goe3,DSM,xIPTG,x100,G9,COL1,b,fcs,1,exp2,39306,30000,50000,30,37230,201,8.671649189169177,37029,33080,new for  Goe3_exp2,15344,17736,51146666.66666667,59120000
Goe3,DSM,xIPTG,x100,H9,COL1,c,fcs,1,exp2,50000,17372,50000,30,47952,131,8.915496093413408,47821,42733,new for  Goe3_exp2,16040,26693,92332489.06285979,153655307.39120424
