strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
sigF,DSM,xIPTG,x100,D10,COL2,a,fcs,1,exp2,34458,30000,50000,30,31860,308,8.308491039169045,31552,27893,data/cluster_models/sigF_exp2_cluster_model.Rdata,14101,13792,47003333.333333336,45973333.333333336
sigF,DSM,xIPTG,x100,D11,COL2,b,fcs,1,exp2,28316,30000,50000,30,26194,242,8.591321425330424,25952,22870,data/cluster_models/sigF_exp2_cluster_model.Rdata,13784,9086,45946666.66666667,30286666.666666668
sigF,DSM,xIPTG,x100,D12,COL2,c,fcs,1,exp2,50000,21594,50000,30,47203,158,9.160272428757185,47045,42583,data/cluster_models/sigF_exp2_cluster_model.Rdata,19245,23338,89121978.32731315,108076317.49560064
sigF,DSM,xIPTG,x100,D7,COL1,a,fcs,1,exp2,29440,30000,50000,30,27022,303,8.212516618831884,26719,23248,data/cluster_models/sigF_exp2_cluster_model.Rdata,11789,11459,39296666.66666667,38196666.66666667
sigF,DSM,xIPTG,x100,D8,COL1,b,fcs,1,exp2,30748,30000,50000,30,28567,358,8.146849231904488,28209,24590,data/cluster_models/sigF_exp2_cluster_model.Rdata,11616,12974,38720000,43246666.66666667
sigF,DSM,xIPTG,x100,D9,COL1,c,fcs,1,exp2,27446,30000,50000,30,24950,265,8.447823594713473,24685,21433,data/cluster_models/sigF_exp2_cluster_model.Rdata,13055,8378,43516666.66666667,27926666.666666668
sigF,DSM,xIPTG,x100,F10,COL3,a,fcs,1,exp2,47843,30000,50000,30,44870,157,9.087273242211632,44713,40197,data/cluster_models/sigF_exp2_cluster_model.Rdata,19544,20653,65146666.66666667,68843333.33333334
sigF,DSM,xIPTG,x100,G10,COL3,b,fcs,1,exp2,46182,30000,50000,30,43360,114,9.05899412521579,43246,38670,data/cluster_models/sigF_exp2_cluster_model.Rdata,18492,20178,61640000,67260000
sigF,DSM,xIPTG,x100,H10,COL3,c,fcs,1,exp2,50000,15202,50000,30,47934,89,9.263678635292518,47845,43869,data/cluster_models/sigF_exp2_cluster_model.Rdata,21095,22774,138764636.23207474,149809235.6268912
