strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
sigG,DSM,xIPTG,x100,E10,COL2,a,fcs,1,exp2,29579,30000,50000,30,27307,201,8.208471348949974,27106,24027,data/cluster_models/sigG_exp2_cluster_model.Rdata,11938,12089,39793333.333333336,40296666.66666667
sigG,DSM,xIPTG,x100,E11,COL2,b,fcs,1,exp2,31929,30000,50000,30,29582,160,8.998382319803515,29422,26220,data/cluster_models/sigG_exp2_cluster_model.Rdata,16959,9261,56530000,30870000
sigG,DSM,xIPTG,x100,E12,COL2,c,fcs,1,exp2,50000,22622,50000,30,47256,138,9.257583984367916,47118,42780,data/cluster_models/sigG_exp2_cluster_model.Rdata,20032,22748,88550968.08416586,100556979.93104059
sigG,DSM,xIPTG,x100,E7,COL1,a,fcs,1,exp2,33833,30000,50000,30,31345,202,8.718413963641991,31143,27128,data/cluster_models/sigG_exp2_cluster_model.Rdata,8204,18924,27346666.666666668,63080000
sigG,DSM,xIPTG,x100,E8,COL1,b,fcs,1,exp2,45330,30000,50000,30,42971,219,8.752763437536883,42752,37607,data/cluster_models/sigG_exp2_cluster_model.Rdata,10676,26931,35586666.66666667,89770000
sigG,DSM,xIPTG,x100,E9,COL1,c,fcs,1,exp2,28176,30000,50000,30,26142,184,8.721028033976905,25958,22448,data/cluster_models/sigG_exp2_cluster_model.Rdata,7671,14777,25570000,49256666.66666667
sigG,DSM,xIPTG,x100,F11,COL3,a,fcs,1,exp2,50000,27581,50000,30,46931,146,9.148014191310317,46785,42259,data/cluster_models/sigG_exp2_cluster_model.Rdata,24315,17944,88158514.91969109,65059279.9390885
sigG,DSM,xIPTG,x100,G11,COL3,b,fcs,1,exp2,50000,28377,50000,30,46920,156,9.273427727243716,46764,42426,data/cluster_models/sigG_exp2_cluster_model.Rdata,25687,16739,90520491.94770412,58987912.74623815
sigG,DSM,xIPTG,x100,H11,COL3,c,fcs,1,exp2,50000,13968,50000,30,48057,98,9.251401053486585,47959,43991,data/cluster_models/sigG_exp2_cluster_model.Rdata,22618,21373,161927262.31386027,153014032.07331043
