strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
Goe3,DSM,IPTG,x100,C1,COL1,a,fcs,1,exp2,50000,23952,50000,30,47991,452,8.99533765914786,47539,43844,data/cluster_models/Goe3_exp2_cluster_model.Rdata,15418,28426,64370407.48162992,118679024.71609886
Goe3,DSM,IPTG,x100,C2,COL1,b,fcs,1,exp2,38013,30000,50000,30,35951,566,8.739162863707534,35385,30605,data/cluster_models/Goe3_exp2_cluster_model.Rdata,7591,23014,25303333.333333336,76713333.33333334
Goe3,DSM,IPTG,x100,C3,COL1,c,fcs,1,exp2,35666,30000,50000,30,33842,463,8.840615603751536,33379,28400,data/cluster_models/Goe3_exp2_cluster_model.Rdata,6194,22206,20646666.666666668,74020000
Goe3,DSM,IPTG,x100,C4,COL2,a,fcs,1,exp2,28308,30000,50000,30,26343,650,8.651516615557693,25693,21857,data/cluster_models/Goe3_exp2_cluster_model.Rdata,6381,15476,21270000,51586666.66666667
Goe3,DSM,IPTG,x100,C5,COL2,b,fcs,1,exp2,33147,30000,50000,30,31434,476,8.79728114113464,30958,25762,data/cluster_models/Goe3_exp2_cluster_model.Rdata,3539,22223,11796666.666666668,74076666.66666667
Goe3,DSM,IPTG,x100,C6,COL2,c,fcs,1,exp2,50000,23648,50000,30,48413,610,8.29894349523417,47803,41157,data/cluster_models/Goe3_exp2_cluster_model.Rdata,13452,27705,56884303.11231394,117155784.84438431
Goe3,DSM,IPTG,x100,F4,COL3,a,fcs,1,exp2,38109,30000,50000,30,35781,273,8.638004860566955,35508,31971,data/cluster_models/Goe3_exp2_cluster_model.Rdata,12513,19458,41710000,64860000
Goe3,DSM,IPTG,x100,G4,COL3,b,fcs,1,exp2,38565,30000,50000,30,37138,228,8.747373467962698,36910,32506,data/cluster_models/Goe3_exp2_cluster_model.Rdata,6671,25835,22236666.666666668,86116666.66666667
Goe3,DSM,IPTG,x100,H4,COL3,c,fcs,1,exp2,50000,23664,50000,30,49164,324,8.31418472517555,48840,44102,data/cluster_models/Goe3_exp2_cluster_model.Rdata,6988,37114,29530087.897227857,156837390.12846518
