strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
sigF,DSM,IPTG,x100,D1,COL1,a,fcs,1,exp2,11893,30000,50000,30,11223,337,8.135691149887203,10886,7737,data/cluster_models/sigF_exp2_cluster_model.Rdata,1199,6538,3996666.666666667,21793333.333333336
sigF,DSM,IPTG,x100,D2,COL1,b,fcs,1,exp2,20657,30000,50000,30,19798,364,8.004075197699208,19434,15624,data/cluster_models/sigF_exp2_cluster_model.Rdata,1124,14500,3746666.666666667,48333333.333333336
sigF,DSM,IPTG,x100,D3,COL1,c,fcs,1,exp2,9146,30000,50000,30,8687,340,8.251996345729765,8347,4718,data/cluster_models/sigF_exp2_cluster_model.Rdata,924,3794,3080000,12646666.666666668
sigF,DSM,IPTG,x100,D4,COL2,a,fcs,1,exp2,23118,30000,50000,30,22404,322,7.306122920493388,22082,19940,data/cluster_models/sigF_exp2_cluster_model.Rdata,1260,18680,4200000,62266666.66666667
sigF,DSM,IPTG,x100,D5,COL2,b,fcs,1,exp2,12620,30000,50000,30,12178,348,7.969967861390568,11830,8581,data/cluster_models/sigF_exp2_cluster_model.Rdata,1111,7470,3703333.3333333335,24900000
sigF,DSM,IPTG,x100,D6,COL2,c,fcs,1,exp2,17481,30000,50000,30,16970,335,8.052089516672753,16635,13551,data/cluster_models/sigF_exp2_cluster_model.Rdata,1083,12468,3610000,41560000
sigF,DSM,IPTG,x100,F5,COL3,a,fcs,1,exp2,29203,30000,50000,30,28376,246,7.343882418900714,28130,25521,data/cluster_models/sigF_exp2_cluster_model.Rdata,1136,24385,3786666.666666667,81283333.33333334
sigF,DSM,IPTG,x100,G5,COL3,b,fcs,1,exp2,12058,30000,50000,30,11605,233,7.910440671410891,11372,8564,data/cluster_models/sigF_exp2_cluster_model.Rdata,1009,7555,3363333.3333333335,25183333.333333336
sigF,DSM,IPTG,x100,H5,COL3,c,fcs,1,exp2,17783,30000,50000,30,17049,287,8.16855195210564,16762,12397,data/cluster_models/sigF_exp2_cluster_model.Rdata,1574,10823,5246666.666666667,36076666.66666667
