well,row,col,media,treat,strain,colony,rep,cluster
A1,A,1,DSM,IPTG,g168,COL1,a,general
B1,B,1,DSM,IPTG,g168,COL2,a,general
C1,C,1,DSM,IPTG,g168,COL3,a,general
D1,D,1,DSM,IPTG,g168,COL4,a,general
E1,E,1,DSM,IPTG,g168,COL5,a,general
F1,F,1,DSM,IPTG,pDR110,COL1,a,general
G1,G,1,DSM,IPTG,SP10,COL1,a,general
H1,H,1,DSM,IPTG,Goe3,COL1,a,general
A2,A,2,DSM,IPTG,g168,COL1,b,general
B2,B,2,DSM,IPTG,g168,COL2,b,general
C2,C,2,DSM,IPTG,g168,COL3,b,general
D2,D,2,DSM,IPTG,g168,COL4,b,general
E2,E,2,DSM,IPTG,g168,COL5,b,general
F2,F,2,DSM,IPTG,pDR110,COL1,b,general
G2,G,2,DSM,IPTG,SP10,COL1,b,general
H2,H,2,DSM,IPTG,Goe3,COL1,b,general
A3,A,3,DSM,IPTG,g168,COL1,c,general
B3,B,3,DSM,IPTG,g168,COL2,c,general
C3,C,3,DSM,IPTG,g168,COL3,c,general
D3,D,3,DSM,IPTG,g168,COL4,c,general
E3,E,3,DSM,IPTG,g168,COL5,c,general
F3,F,3,DSM,IPTG,pDR110,COL1,c,general
G3,G,3,DSM,IPTG,SP10,COL1,c,general
H3,H,3,DSM,IPTG,Goe3,COL1,c,general
A4,A,4,DSM,IPTG,g169,COL1,a,perSample
B4,B,4,DSM,IPTG,g169,COL2,a,perSample
C4,C,4,DSM,IPTG,g169,COL3,a,perSample
D4,D,4,DSM,IPTG,g169,COL4,a,perSample
E4,E,4,DSM,IPTG,g169,COL5,a,perSample
F4,F,4,DSM,IPTG,sigF,COL1,a,general
G4,G,4,DSM,IPTG,sigG,COL1,a,general
H4,H,4,DSM,IPTG,DSM,blank,a,blank
A5,A,5,DSM,IPTG,g169,COL1,b,perSample
B5,B,5,DSM,IPTG,g169,COL2,b,perSample
C5,C,5,DSM,IPTG,g169,COL3,b,perSample
D5,D,5,DSM,IPTG,g169,COL4,b,perSample
E5,E,5,DSM,IPTG,g169,COL5,b,perSample
F5,F,5,DSM,IPTG,sigF,COL1,b,general
G5,G,5,DSM,IPTG,sigG,COL1,b,general
H5,H,5,DSM,IPTG,DSM,blank,b,blank
A6,A,6,DSM,IPTG,g169,COL1,c,perSample
B6,B,6,DSM,IPTG,g169,COL2,c,perSample
C6,C,6,DSM,IPTG,g169,COL3,c,perSample
D6,D,6,DSM,IPTG,g169,COL4,c,perSample
E6,E,6,DSM,IPTG,g169,COL5,c,perSample
F6,F,6,DSM,IPTG,sigF,COL1,c,general
G6,G,6,DSM,IPTG,sigG,COL1,c,general
H6,H,6,DSM,IPTG,DSM,blank,c,blank
A7,A,7,DSM,Water,g168,COL1,a,perSample
B7,B,7,DSM,Water,g168,COL2,a,perSample
C7,C,7,DSM,Water,g168,COL3,a,perSample
D7,D,7,DSM,Water,g168,COL4,a,perSample
E7,E,7,DSM,Water,g168,COL5,a,perSample
F7,F,7,DSM,Water,pDR110,COL1,a,perSample
G7,G,7,DSM,Water,SP10,COL1,a,perSample
H7,H,7,DSM,Water,Goe3,COL1,a,perSample
A8,A,8,DSM,Water,g168,COL1,b,perSample
B8,B,8,DSM,Water,g168,COL2,b,perSample
C8,C,8,DSM,Water,g168,COL3,b,perSample
D8,D,8,DSM,Water,g168,COL4,b,perSample
E8,E,8,DSM,Water,g168,COL5,b,perSample
F8,F,8,DSM,Water,pDR110,COL1,b,perSample
G8,G,8,DSM,Water,SP10,COL1,b,perSample
H8,H,8,DSM,Water,Goe3,COL1,b,perSample
A9,A,9,DSM,Water,g168,COL1,c,perSample
B9,B,9,DSM,Water,g168,COL2,c,perSample
C9,C,9,DSM,Water,g168,COL3,c,perSample
D9,D,9,DSM,Water,g168,COL4,c,perSample
E9,E,9,DSM,Water,g168,COL5,c,perSample
F9,F,9,DSM,Water,pDR110,COL1,c,perSample
G9,G,9,DSM,Water,SP10,COL1,c,perSample
H9,H,9,DSM,Water,Goe3,COL1,c,perSample
A10,A,10,DSM,Water,g169,COL1,a,perSample
B10,B,10,DSM,Water,g169,COL2,a,perSample
C10,C,10,DSM,Water,g169,COL3,a,perSample
D10,D,10,DSM,Water,g169,COL4,a,perSample
E10,E,10,DSM,Water,g169,COL5,a,perSample
F10,F,10,DSM,Water,sigF,COL1,a,perSample
G10,G,10,DSM,Water,sigG,COL1,a,perSample
H10,H,10,DSM,Water,DSM,blank,a,blank
A11,A,11,DSM,Water,g169,COL1,b,perSample
B11,B,11,DSM,Water,g169,COL2,b,perSample
C11,C,11,DSM,Water,g169,COL3,b,perSample
D11,D,11,DSM,Water,g169,COL4,b,perSample
E11,E,11,DSM,Water,g169,COL5,b,perSample
F11,F,11,DSM,Water,sigF,COL1,b,perSample
G11,G,11,DSM,Water,sigG,COL1,b,perSample
H11,H,11,DSM,Water,DSM,blank,b,blank
A12,A,12,DSM,Water,g169,COL1,c,perSample
B12,B,12,DSM,Water,g169,COL2,c,perSample
C12,C,12,DSM,Water,g169,COL3,c,perSample
D12,D,12,DSM,Water,g169,COL4,c,perSample
E12,E,12,DSM,Water,g169,COL5,c,perSample
F12,F,12,DSM,Water,sigF,COL1,c,perSample
G12,G,12,DSM,Water,sigG,COL1,c,perSample
H12,H,12,DSM,Water,DSM,blank,c,blank
