strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
sigG,DSM,xIPTG,x100,G10,COL1,a,fcs,1,exp4,50000,20535,50000,30,48084,108,9.432705358329418,47976,44985,data/cluster_models/sigG_exp4_cluster_model.Rdata,32198,12787,156795714.63355246,62269296.32335038
sigG,DSM,xIPTG,x100,G11,COL1,b,fcs,1,exp4,50000,19540,50000,30,48258,74,9.476669372637526,48184,45067,data/cluster_models/sigG_exp4_cluster_model.Rdata,32592,12475,166796315.25076768,63843398.15762539
sigG,DSM,xIPTG,x100,G12,COL1,c,fcs,1,exp4,50000,12682,50000,30,49205,252,7.911841990400939,48953,42162,data/cluster_models/sigG_exp4_cluster_model.Rdata,9641,32521,76021132.31351522,256434316.35388738
