strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
Eldridge169,DSM,IPTG,x100,A4,COL1,a,fcs,1,exp4,41366,30000,50000,30,39411,924,8.041575452476737,38487,30349,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,251,30098,836666.6666666667,100326666.66666667
Eldridge169,DSM,IPTG,x100,A5,COL1,b,fcs,1,exp4,32528,30000,50000,30,31451,955,7.956183294659752,30496,25619,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,183,25436,610000,84786666.66666667
Eldridge169,DSM,IPTG,x100,A6,COL1,c,fcs,1,exp4,27027,30000,50000,30,25602,696,7.884905773482846,24906,21588,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,176,21412,586666.6666666667,71373333.33333334
Eldridge169,DSM,IPTG,x100,B4,COL2,a,fcs,1,exp4,41360,30000,50000,30,39348,754,8.07003853751513,38594,30613,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,233,30380,776666.6666666667,101266666.66666667
Eldridge169,DSM,IPTG,x100,B5,COL2,b,fcs,1,exp4,40684,30000,50000,30,39298,760,7.818024954758644,38538,33530,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,208,33322,693333.3333333334,111073333.33333334
Eldridge169,DSM,IPTG,x100,B6,COL2,c,fcs,1,exp4,35536,30000,50000,30,33868,544,7.915751956176989,33324,28023,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,214,27809,713333.3333333334,92696666.66666667
Eldridge169,DSM,IPTG,x100,C4,COL3,a,fcs,1,exp4,39211,30000,50000,30,38371,923,8.130584974288073,37448,31029,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,313,30716,1043333.3333333334,102386666.66666667
Eldridge169,DSM,IPTG,x100,C5,COL3,b,fcs,1,exp4,36614,30000,50000,30,34991,534,7.771064429403788,34457,30583,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,159,30424,530000,101413333.33333334
Eldridge169,DSM,IPTG,x100,C6,COL3,c,fcs,1,exp4,36248,30000,50000,30,34555,536,7.869181280873177,34019,29588,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,164,29424,546666.6666666667,98080000
Eldridge169,DSM,IPTG,x100,D4,COL4,a,fcs,1,exp4,38094,30000,50000,30,36832,910,8.00576658093676,35922,29386,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,206,29180,686666.6666666667,97266666.66666667
Eldridge169,DSM,IPTG,x100,D5,COL4,b,fcs,1,exp4,35901,30000,50000,30,35241,887,7.980801621865407,34354,29310,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,201,29109,670000,97030000
Eldridge169,DSM,IPTG,x100,D6,COL4,c,fcs,1,exp4,34138,30000,50000,30,32527,581,8.032709927039225,31946,27122,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,193,26929,643333.3333333334,89763333.33333334
Eldridge169,DSM,IPTG,x100,E4,COL5,a,fcs,1,exp4,38026,30000,50000,30,36362,778,8.058847072521177,35584,29014,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,175,28839,583333.3333333334,96130000
Eldridge169,DSM,IPTG,x100,E5,COL5,b,fcs,1,exp4,34997,30000,50000,30,33201,591,7.997478278194226,32610,28122,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,165,27957,550000,93190000
Eldridge169,DSM,IPTG,x100,E6,COL5,c,fcs,1,exp4,33152,30000,50000,30,32397,726,7.97926586888522,31671,27374,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,186,27188,620000,90626666.66666667
