strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
Eldridge169,DSM,xIPTG,x100,A10,COL1,a,fcs,1,exp4,50000,26337,50000,30,47609,60,9.557182479356602,47549,44555,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,30861,13694,117177355.05182824,51995291.79481338
Eldridge169,DSM,xIPTG,x100,A11,COL1,b,fcs,1,exp4,50000,29859,50000,30,47504,86,9.457716248266328,47418,43718,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,25239,18479,84527278.2075756,61887538.095716536
Eldridge169,DSM,xIPTG,x100,A12,COL1,c,fcs,1,exp4,50000,15067,50000,30,49340,120,8.042650756101233,49220,42214,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,7103,35111,47142762.328267075,233032455.03418064
Eldridge169,DSM,xIPTG,x100,B10,COL2,a,fcs,1,exp4,50000,22225,50000,30,48310,81,8.514438660097902,48229,42432,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,22030,20402,99122609.67379077,91797525.30933632
Eldridge169,DSM,xIPTG,x100,B11,COL2,b,fcs,1,exp4,50000,21825,50000,30,48357,78,8.629521763486641,48279,43277,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,24012,19265,110020618.55670103,88270332.18785796
Eldridge169,DSM,xIPTG,x100,B12,COL2,c,fcs,1,exp4,50000,16309,50000,30,49534,145,7.938884549848088,49389,43248,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,11334,31914,69495370.65423998,195683365.0131829
Eldridge169,DSM,xIPTG,x100,C10,COL3,a,fcs,1,exp4,50000,23764,50000,30,48294,73,8.639726371835774,48221,42562,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,22875,19687,96259047.2984346,82843797.34051506
Eldridge169,DSM,xIPTG,x100,C11,COL3,b,fcs,1,exp4,50000,25154,50000,30,48116,63,9.120447118524432,48053,43359,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,26616,16743,105812196.86729746,66561978.21420053
Eldridge169,DSM,xIPTG,x100,C12,COL3,c,fcs,1,exp4,50000,16740,50000,30,49454,131,7.940008847947902,49323,42593,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,8074,34519,48231780.16726404,206206690.56152925
Eldridge169,DSM,xIPTG,x100,D10,COL4,a,fcs,1,exp4,50000,18657,50000,30,48934,73,8.011117449739093,48861,45247,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,21283,23964,114075146.05777992,128445087.63466795
Eldridge169,DSM,xIPTG,x100,D11,COL4,b,fcs,1,exp4,50000,18389,50000,30,49230,95,7.962984629064996,49135,45545,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,20098,25447,109293599.43444452,138381641.19854262
Eldridge169,DSM,xIPTG,x100,D12,COL4,c,fcs,1,exp4,50000,15322,50000,30,49341,265,8.02793713242258,49076,45872,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,7858,38014,51285732.93303746,248100770.1344472
Eldridge169,DSM,xIPTG,x100,E10,COL5,a,fcs,1,exp4,50000,28353,50000,30,48120,73,9.448702004186412,48047,44670,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,33634,11036,118625894.9670229,38923570.6979861
Eldridge169,DSM,xIPTG,x100,E11,COL5,b,fcs,1,exp4,46299,30000,50000,30,44304,89,9.327371251618567,44215,40999,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,25093,15906,83643333.33333334,53020000
Eldridge169,DSM,xIPTG,x100,E12,COL5,c,fcs,1,exp4,50000,15940,50000,30,49114,124,7.947458995915202,48990,43875,data/cluster_models/Eldridge169_exp4_cluster_model.Rdata,7710,36165,48368883.31242158,226882057.71643665
