strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
SP10,DSM,xIPTG,x100,G7,COL1,a,fcs,1,exp4,50000,24421,50000,30,47924,66,9.427560594899564,47858,44730,data/cluster_models/SP10_exp4_cluster_model.Rdata,32875,11855,134617747.0210065,48544285.65578805
SP10,DSM,xIPTG,x100,G8,COL1,b,fcs,1,exp4,50000,29688,50000,30,47340,75,9.470661403630167,47265,44196,data/cluster_models/SP10_exp4_cluster_model.Rdata,31888,12308,107410401.50902721,41457828.07868499
SP10,DSM,xIPTG,x100,G9,COL1,c,fcs,1,exp4,50000,23347,50000,30,47822,53,9.509767193646363,47769,45250,data/cluster_models/SP10_exp4_cluster_model.Rdata,36210,9040,155094873.0029554,38720178.181350924
