strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
pDR110,DSM,xIPTG,x100,F7,COL1,a,fcs,1,exp4,50000,27511,50000,30,47931,73,9.404579502866975,47858,45186,new for  pDR110_exp4,30920,14266,112391407.07353422,51855621.38780851
pDR110,DSM,xIPTG,x100,F8,COL1,b,fcs,1,exp4,50000,29551,50000,30,48015,153,9.256033069884035,47862,44151,new for  pDR110_exp4,22509,21642,76170011.16713478,73236100.30117424
pDR110,DSM,xIPTG,x100,F9,COL1,c,fcs,1,exp4,50000,26670,50000,30,47971,115,9.34842733330786,47856,43740,new for  pDR110_exp4,29604,14136,111001124.85939258,53003374.57817773
