strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
Eldridge168,DSM,xIPTG,x100,A7,COL1,a,fcs,1,exp4,50000,22007,50000,30,48019,78,9.381157133884528,47941,44610,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,24352,20258,110655700.45894489,92052528.74085519
Eldridge168,DSM,xIPTG,x100,A8,COL1,b,fcs,1,exp4,50000,21057,50000,30,48005,78,9.283508539115026,47927,44277,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,24276,20001,115287077.93132925,94985040.60407466
Eldridge168,DSM,xIPTG,x100,A9,COL1,c,fcs,1,exp4,50000,22641,50000,30,47891,88,9.368283174081986,47803,44610,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,25761,18849,113780310.05697627,83251623.16152112
Eldridge168,DSM,xIPTG,x100,B7,COL2,a,fcs,1,exp4,50000,27172,50000,30,48121,91,9.108453067106522,48030,44056,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,25098,18958,92367142.64684233,69770351.83276902
Eldridge168,DSM,xIPTG,x100,B8,COL2,b,fcs,1,exp4,50000,29366,50000,30,48029,99,9.042760536207338,47930,43655,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,21033,22622,71623646.39378874,77034665.94020295
Eldridge168,DSM,xIPTG,x100,B9,COL2,c,fcs,1,exp4,50000,25617,50000,30,48416,85,8.3857151130598009,48331,42523,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,20629,21894,80528555.25627513,85466682.28129758
Eldridge168,DSM,xIPTG,x100,C7,COL3,a,fcs,1,exp4,50000,27888,50000,30,47824,100,9.277280168409222,47724,44227,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,29151,15076,104528829.6041308,54059093.51692484
Eldridge168,DSM,xIPTG,x100,C8,COL3,b,fcs,1,exp4,50000,28608,50000,30,47997,66,9.23838550884998,47931,44101,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,27669,16432,96717701.34228188,57438478.74720357
Eldridge168,DSM,xIPTG,x100,C9,COL3,c,fcs,1,exp4,50000,23172,50000,30,48521,101,8.358686174619875,48420,41062,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,19535,21527,84304332.81546694,92900914.89728983
Eldridge168,DSM,xIPTG,x100,D7,COL4,a,fcs,1,exp4,50000,19848,50000,30,48034,68,9.303893506010985,47966,43971,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,30850,13121,155431277.71060055,66107416.364369206
Eldridge168,DSM,xIPTG,x100,D8,COL4,b,fcs,1,exp4,46749,30000,50000,30,44541,81,9.274086840356844,44460,40973,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,26246,14727,87486666.66666667,49090000
Eldridge168,DSM,xIPTG,x100,D9,COL4,c,fcs,1,exp4,50000,25172,50000,30,47796,66,9.3827023776008,47730,44698,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,32303,12395,128329095.82075322,49241220.403623074
Eldridge168,DSM,xIPTG,x100,E7,COL5,a,fcs,1,exp4,50000,20402,50000,30,48066,66,9.21936498239258,48000,43776,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,29908,13868,146593471.22831094,67973728.06587589
Eldridge168,DSM,xIPTG,x100,E8,COL5,b,fcs,1,exp4,46517,30000,50000,30,44441,82,9.241222980650107,44359,40827,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,23437,17390,78123333.33333334,57966666.66666667
Eldridge168,DSM,xIPTG,x100,E9,COL5,c,fcs,1,exp4,50000,27162,50000,30,47797,76,9.266205751641584,47721,44677,data/cluster_models/Eldridge168_exp4_cluster_model.Rdata,29804,14873,109726824.2397467,54756645.313305356
