strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
sigG,DSM,IPTG,x100,E10,COL2,a,fcs,1,exp1,23264,30000,50000,30,21539,1503,8.03735172052296,20036,17572,data/cluster_models/sigG_exp1_cluster_model.Rdata,1972,15600,6573333.333333334,52000000
sigG,DSM,IPTG,x100,E11,COL2,b,fcs,1,exp1,23502,30000,50000,30,21521,1580,8.040079096058856,19941,17197,data/cluster_models/sigG_exp1_cluster_model.Rdata,1503,15694,5010000,52313333.333333336
sigG,DSM,IPTG,x100,E12,COL2,c,fcs,1,exp1,20324,30000,50000,30,18984,1187,8.451724173070023,17797,15598,data/cluster_models/sigG_exp1_cluster_model.Rdata,3903,11695,13010000,38983333.333333336
sigG,DSM,IPTG,x100,E7,COL1,a,fcs,1,exp1,25545,30000,50000,30,23428,1525,8.073237324472682,21903,18397,data/cluster_models/sigG_exp1_cluster_model.Rdata,1210,17187,4033333.3333333335,57290000
sigG,DSM,IPTG,x100,E8,COL1,b,fcs,1,exp1,22881,30000,50000,30,20923,1131,8.040215978127431,19792,16764,data/cluster_models/sigG_exp1_cluster_model.Rdata,951,15813,3170000,52710000
sigG,DSM,IPTG,x100,E9,COL1,c,fcs,1,exp1,14896,30000,50000,30,13632,973,8.002387343578405,12659,10965,data/cluster_models/sigG_exp1_cluster_model.Rdata,728,10237,2426666.666666667,34123333.333333336
sigG,DSM,IPTG,x100,F11,COL3,a,fcs,1,exp1,29269,30000,50000,30,27206,1399,8.016951122612804,25807,23401,data/cluster_models/sigG_exp1_cluster_model.Rdata,1663,21738,5543333.333333334,72460000
sigG,DSM,IPTG,x100,G11,COL3,b,fcs,1,exp1,22035,30000,50000,30,20353,1846,8.014085560929221,18507,16596,data/cluster_models/sigG_exp1_cluster_model.Rdata,1935,14661,6450000,48870000
sigG,DSM,IPTG,x100,H11,COL3,c,fcs,1,exp1,17975,30000,50000,30,16760,760,7.885184445547695,16000,14953,data/cluster_models/sigG_exp1_cluster_model.Rdata,5273,9680,17576666.666666668,32266666.666666668
