strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
sigF,DSM,IPTG,x100,D10,COL2,a,fcs,1,exp1,50000,24114,50000,30,48467,2078,7.976294626681978,46389,45272,data/cluster_models/sigF_exp1_cluster_model.Rdata,1200,44072,4976362.279173924,182765198.63979432
sigF,DSM,IPTG,x100,D11,COL2,b,fcs,1,exp1,50000,24882,50000,30,47612,1860,7.89873217234693,45752,44612,data/cluster_models/sigF_exp1_cluster_model.Rdata,1475,43137,5927980.0659111,173366288.88353026
sigF,DSM,IPTG,x100,D12,COL2,c,fcs,1,exp1,50000,22616,50000,30,48399,1236,8.06669957636975,47163,46301,data/cluster_models/sigF_exp1_cluster_model.Rdata,1023,45278,4523346.303501945,200203395.8259639
sigF,DSM,IPTG,x100,D7,COL1,a,fcs,1,exp1,50000,24894,50000,30,47846,1736,7.908553095180445,46110,45004,data/cluster_models/sigF_exp1_cluster_model.Rdata,998,44006,4008998.1521651805,176773519.7236282
sigF,DSM,IPTG,x100,D8,COL1,b,fcs,1,exp1,50000,24069,50000,30,47699,1761,7.91991029106806,45938,44651,data/cluster_models/sigF_exp1_cluster_model.Rdata,907,43744,3768332.710125057,181744152.22900826
sigF,DSM,IPTG,x100,D9,COL1,c,fcs,1,exp1,50000,24256,50000,30,47994,1780,7.897147923019864,46214,44987,data/cluster_models/sigF_exp1_cluster_model.Rdata,905,44082,3731035.6200527707,181736477.57255936
sigF,DSM,IPTG,x100,F10,COL3,a,fcs,1,exp1,40919,30000,50000,30,39916,213,7.799089479301491,39703,38780,data/cluster_models/sigF_exp1_cluster_model.Rdata,2171,36609,7236666.666666667,122030000
sigF,DSM,IPTG,x100,G10,COL3,b,fcs,1,exp1,35006,30000,50000,30,34263,319,7.733370080484336,33944,33074,data/cluster_models/sigF_exp1_cluster_model.Rdata,2075,30999,6916666.666666667,103330000
sigF,DSM,IPTG,x100,H10,COL3,c,fcs,1,exp1,35251,30000,50000,30,34547,307,7.788919734954854,34240,33348,data/cluster_models/sigF_exp1_cluster_model.Rdata,2480,30868,8266666.666666667,102893333.33333334
