strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
sigG,DSM,xIPTG,x100,E1,COL1,a,fcs,1,exp1,50000,20798,50000,30,48045,282,8.956182977260543,47763,42762,data/cluster_models/sigG_exp1_cluster_model.Rdata,10634,32128,51129916.33810943,154476391.96076545
sigG,DSM,xIPTG,x100,E2,COL1,b,fcs,1,exp1,50000,24975,50000,30,47194,191,9.424600739329929,47003,44171,data/cluster_models/sigG_exp1_cluster_model.Rdata,32232,11939,129057057.05705705,47803803.8038038
sigG,DSM,xIPTG,x100,E3,COL1,c,fcs,1,exp1,23723,30000,50000,30,21901,364,8.453057762681171,21537,19804,data/cluster_models/sigG_exp1_cluster_model.Rdata,7522,12282,25073333.333333336,40940000
sigG,DSM,xIPTG,x100,E4,COL2,a,fcs,1,exp1,27572,30000,50000,30,25454,358,8.095210000118179,25096,22901,data/cluster_models/sigG_exp1_cluster_model.Rdata,9670,13231,32233333.333333336,44103333.333333336
sigG,DSM,xIPTG,x100,E5,COL2,b,fcs,1,exp1,28469,30000,50000,30,25868,335,8.732468695804092,25533,22942,data/cluster_models/sigG_exp1_cluster_model.Rdata,11233,11709,37443333.333333336,39030000
sigG,DSM,xIPTG,x100,E6,COL2,c,fcs,1,exp1,31955,30000,50000,30,29238,326,8.660270750603582,28912,26119,data/cluster_models/sigG_exp1_cluster_model.Rdata,12408,13711,41360000,45703333.333333336
sigG,DSM,xIPTG,x100,F6,COL3,a,fcs,1,exp1,36453,30000,50000,30,33898,154,9.168008044212455,33744,31963,data/cluster_models/sigG_exp1_cluster_model.Rdata,24233,7730,80776666.66666667,25766666.666666668
sigG,DSM,xIPTG,x100,G6,COL3,b,fcs,1,exp1,41922,30000,50000,30,39367,261,8.780776410611905,39106,36087,data/cluster_models/sigG_exp1_cluster_model.Rdata,16878,19209,56260000,64030000
sigG,DSM,xIPTG,x100,H6,COL3,c,fcs,1,exp1,50000,22784,50000,30,47661,177,8.994225203198821,47484,44038,data/cluster_models/sigG_exp1_cluster_model.Rdata,19696,24342,86446629.21348315,106838132.02247192
