strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
Goe3,DSM,xIPTG,x100,C1,COL1,a,fcs,1,exp1,50000,22280,50000,30,47153,336,9.060357898441488,46817,43080,data/cluster_models/Goe3_exp1_cluster_model.Rdata,19192,23888,86140035.90664272,107217235.18850987
Goe3,DSM,xIPTG,x100,C2,COL1,b,fcs,1,exp1,50000,24664,50000,30,47247,325,8.92769931342392,46922,42439,data/cluster_models/Goe3_exp1_cluster_model.Rdata,20210,22229,81941290.95037302,90127311.0606552
Goe3,DSM,xIPTG,x100,C3,COL1,c,fcs,1,exp1,35374,30000,50000,30,32819,603,7.786980929422035,32216,29722,data/cluster_models/Goe3_exp1_cluster_model.Rdata,7477,22245,24923333.333333336,74150000
Goe3,DSM,xIPTG,x100,C4,COL2,a,fcs,1,exp1,36942,30000,50000,30,34326,608,8.350628953260031,33718,31377,data/cluster_models/Goe3_exp1_cluster_model.Rdata,13754,17623,45846666.66666667,58743333.333333336
Goe3,DSM,xIPTG,x100,C5,COL2,b,fcs,1,exp1,33248,30000,50000,30,30486,584,8.431754672642858,29902,27383,data/cluster_models/Goe3_exp1_cluster_model.Rdata,11738,15645,39126666.66666667,52150000
Goe3,DSM,xIPTG,x100,C6,COL2,c,fcs,1,exp1,39101,30000,50000,30,36573,526,8.406542952421285,36047,33291,data/cluster_models/Goe3_exp1_cluster_model.Rdata,13486,19805,44953333.333333336,66016666.66666667
Goe3,DSM,xIPTG,x100,F4,COL3,a,fcs,1,exp1,32840,30000,50000,30,30554,240,8.256469918466554,30314,28210,data/cluster_models/Goe3_exp1_cluster_model.Rdata,12172,16038,40573333.333333336,53460000
Goe3,DSM,xIPTG,x100,G4,COL3,b,fcs,1,exp1,50000,24698,50000,30,47159,140,9.386238215007214,47019,44297,data/cluster_models/Goe3_exp1_cluster_model.Rdata,33534,10763,135776176.20859987,43578427.403028585
Goe3,DSM,xIPTG,x100,H4,COL3,c,fcs,1,exp1,50000,23704,50000,30,47257,170,9.150983391836816,47087,43567,data/cluster_models/Goe3_exp1_cluster_model.Rdata,19889,23678,83905669.92912589,99890313.87107661
