strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
sigF,DSM,xIPTG,x100,D1,COL1,a,fcs,1,exp1,50000,26252,50000,30,47088,366,9.163058974186223,46722,42957,new for  sigF_exp1,20656,22301,78683528.87399055,84949718.11671491
sigF,DSM,xIPTG,x100,D2,COL1,b,fcs,1,exp1,36784,30000,50000,30,34234,384,8.498782867932928,33850,31096,new for  sigF_exp1,12118,18978,40393333.333333336,63260000
sigF,DSM,xIPTG,x100,D3,COL1,c,fcs,1,exp1,34321,30000,50000,30,32332,379,7.946463048869502,31953,29811,new for  sigF_exp1,14267,15544,47556666.66666667,51813333.333333336
sigF,DSM,xIPTG,x100,D4,COL2,a,fcs,1,exp1,29190,30000,50000,30,27019,457,8.259575347159181,26562,24486,new for  sigF_exp1,11309,13177,37696666.66666667,43923333.333333336
sigF,DSM,xIPTG,x100,D5,COL2,b,fcs,1,exp1,27811,30000,50000,30,25551,417,8.01043405275377,25134,22897,new for  sigF_exp1,8203,14694,27343333.333333336,48980000
sigF,DSM,xIPTG,x100,D6,COL2,c,fcs,1,exp1,23379,30000,50000,30,21277,531,8.636361659942544,20746,18823,new for  sigF_exp1,8478,10345,28260000,34483333.333333336
sigF,DSM,xIPTG,x100,F5,COL3,a,fcs,1,exp1,33653,30000,50000,30,31087,273,8.847553762620644,30814,28324,new for  sigF_exp1,17570,10754,58566666.66666667,35846666.66666667
sigF,DSM,xIPTG,x100,G5,COL3,b,fcs,1,exp1,38684,30000,50000,30,35714,211,9.0287833499919,35503,32584,new for  sigF_exp1,20132,12452,67106666.66666667,41506666.66666667
sigF,DSM,xIPTG,x100,H5,COL3,c,fcs,1,exp1,50000,20119,50000,30,47475,132,9.300499836427553,47343,44175,new for  sigF_exp1,22351,21824,111093990.7550077,108474576.27118643
