strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
pDR110,DSM,IPTG,x100,A10,COL2,a,fcs,1,exp1,50000,22353,50000,30,46709,829,8.956521452300843,45880,41589,data/cluster_models/pDR110_exp1_cluster_model.Rdata,17445,24144,78043215.67574821,108012347.33592805
pDR110,DSM,IPTG,x100,A11,COL2,b,fcs,1,exp1,50000,19338,50000,30,46989,652,8.970969068041843,46337,42195,data/cluster_models/pDR110_exp1_cluster_model.Rdata,16942,25253,87609887.26859033,130587444.40997
pDR110,DSM,IPTG,x100,A12,COL2,c,fcs,1,exp1,50000,15975,50000,30,47352,504,8.799927600102771,46848,42864,data/cluster_models/pDR110_exp1_cluster_model.Rdata,14917,27947,93377151.79968701,174942097.0266041
pDR110,DSM,IPTG,x100,A7,COL1,a,fcs,1,exp1,50000,23693,50000,30,46867,1311,8.498212209029955,45556,42297,data/cluster_models/pDR110_exp1_cluster_model.Rdata,17829,24468,75250073.86147808,103271008.31469211
pDR110,DSM,IPTG,x100,A8,COL1,b,fcs,1,exp1,50000,24453,50000,30,46959,1153,8.576777885243658,45806,42108,data/cluster_models/pDR110_exp1_cluster_model.Rdata,14069,28039,57534862.7980207,114664867.29644625
pDR110,DSM,IPTG,x100,A9,COL1,c,fcs,1,exp1,50000,21786,50000,30,47110,975,7.914618768516222,46135,42449,data/cluster_models/pDR110_exp1_cluster_model.Rdata,11065,31384,50789497.84265125,144055815.66143394
pDR110,DSM,IPTG,x100,F7,COL3,a,fcs,1,exp1,36014,30000,50000,30,33362,253,9.15089865681728,33109,30267,data/cluster_models/pDR110_exp1_cluster_model.Rdata,21713,8554,72376666.66666667,28513333.333333336
pDR110,DSM,IPTG,x100,G7,COL3,b,fcs,1,exp1,33591,30000,50000,30,31527,223,8.859837355912347,31304,28329,data/cluster_models/pDR110_exp1_cluster_model.Rdata,18198,10131,60660000,33770000
pDR110,DSM,IPTG,x100,H7,COL3,c,fcs,1,exp1,50000,20204,50000,30,47687,158,9.045048817229196,47529,43734,data/cluster_models/pDR110_exp1_cluster_model.Rdata,25516,18218,126291823.40130667,90170263.31419522
