strain,media,treat,dilution,well,colony,rep,xt,num,exp,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,clust.model,spore,veg,spore.ml,veg.ml
Goe3,DSM,IPTG,x100,C10,COL2,a,fcs,1,exp1,33084,30000,50000,30,31168,708,8.891879068496886,30460,27485,data/cluster_models/Goe3_exp1_cluster_model.Rdata,5141,22344,17136666.666666668,74480000
Goe3,DSM,IPTG,x100,C11,COL2,b,fcs,1,exp1,33783,30000,50000,30,32158,803,8.490718259354711,31355,28987,data/cluster_models/Goe3_exp1_cluster_model.Rdata,3902,25085,13006666.666666668,83616666.66666667
Goe3,DSM,IPTG,x100,C12,COL2,c,fcs,1,exp1,50000,19981,50000,30,49013,617,8.088548701841251,48396,43579,data/cluster_models/Goe3_exp1_cluster_model.Rdata,2576,41003,12892247.63525349,205209949.4519794
Goe3,DSM,IPTG,x100,C7,COL1,a,fcs,1,exp1,29676,30000,50000,30,28250,1020,7.990554960020116,27230,24771,data/cluster_models/Goe3_exp1_cluster_model.Rdata,2873,21898,9576666.666666668,72993333.33333334
Goe3,DSM,IPTG,x100,C8,COL1,b,fcs,1,exp1,31378,30000,50000,30,29239,855,8.947637442301486,28384,24918,data/cluster_models/Goe3_exp1_cluster_model.Rdata,3665,21253,12216666.666666668,70843333.33333334
Goe3,DSM,IPTG,x100,C9,COL1,c,fcs,1,exp1,29019,30000,50000,30,27178,702,7.988038049208913,26476,24303,data/cluster_models/Goe3_exp1_cluster_model.Rdata,2774,21529,9246666.666666668,71763333.33333334
Goe3,DSM,IPTG,x100,F9,COL3,a,fcs,1,exp1,23086,30000,50000,30,21535,421,8.556760795293656,21114,19617,data/cluster_models/Goe3_exp1_cluster_model.Rdata,5000,14617,16666666.666666668,48723333.333333336
Goe3,DSM,IPTG,x100,G9,COL3,b,fcs,1,exp1,29898,30000,50000,30,28290,578,8.97601450498277,27712,25590,data/cluster_models/Goe3_exp1_cluster_model.Rdata,7795,17795,25983333.333333336,59316666.66666667
Goe3,DSM,IPTG,x100,H9,COL3,c,fcs,1,exp1,50000,24615,50000,30,48496,499,8.032784005543242,47997,45098,data/cluster_models/Goe3_exp1_cluster_model.Rdata,6011,39087,24420069.063579116,158793418.64716634
